parent_category;name;link;description
"Lumino Design";"zestawy wzorów";"https://www.sklep-ik.pl/tag-produktu/zestawy-wzorow/";""
"Lumino Design";"Kursy";"https://www.sklep-ik.pl/kategoria-produktu/kursy-lumino-design/";""
"Lumino Design";"Ebooki";"https://www.sklep-ik.pl/kategoria-produktu/ebook-lumino-design/";""
"Lumino Design";"bezpłatne kursy";"https://www.sklep-ik.pl/kursy/";""
"Lumino Design";"KIERMASZ";"https://www.sklep-ik.pl/kategoria-produktu/kiermasz/";""
"None";"NOWOŚCI";"None";""
"None";"PROMOCJE";"None";""
"PROMOCJE";"AKCJA OKAZJA";"https://www.sklep-ik.pl/akcja-okazja-2/";""
"PROMOCJE";"WIETRZENIE MAGAZYNÓW";"https://www.sklep-ik.pl/kategoria-produktu/wietrzenie-magazynow/";""
"PROMOCJE";"WYCOFANE Z PRODUKCJI";"https://www.sklep-ik.pl/kategoria-produktu/wycofane-z-produkcji/";""
