parent_category;name;link;description
"SESIA";"IRIDE";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-iride/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% organiczna bawełna<br/>motek 125g = 450m"
"SESIA";"PURA LANA ECO";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-pura-lana-ecologica/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>50% alpaka, 50% wełna owcza<br/>motek 50g = 85m"
"SESIA";"SCOTLAND 2";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-scotland-2/";"<strong><span style=""color: #993366;"">27,00 zł</span></strong><br/>100% wełna<br/>motek 50g = 350m"
"SESIA";"TALENT";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-talent/";"<strong><span style=""color: #993366;"">92,00 zł</span></strong><br/>100% wełna z merynosów<br/>motek 200g = 700m"
"SESIA";"WOW";"https://www.sklep-ik.pl/tag-produktu/wloczka-sesia-wow/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% poliamid<br/>motek 25g = 105m"
"Włóczki";"STENLI";"https://www.sklep-ik.pl/stenli/";""
"STENLI";"AJUR";"https://www.sklep-ik.pl/tag-produktu/stenli-ajur/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% wiskoza<br/>motek 100g = 500m"
"STENLI";"BAMBOO";"https://www.sklep-ik.pl/tag-produktu/wloczka-stenli-bamboo/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>100% bambus<br/>motek 100g = 250m"
"STENLI";"BOTANICAL";"https://www.sklep-ik.pl/tag-produktu/wloczka-stenli-botanical/";"<strong><span style=""color: #993366;"">20% TANIEJ</span></strong><br/>50% bambus, 50% bawełna<br/>motek 100g = 200m"
"STENLI";"BOTANICAL COLOR";"https://www.sklep-ik.pl/tag-produktu/wloczka-stenli-botanical-color/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>50% bambus, 50% bawełna<br/>motek 100g = 200m"
"STENLI";"LEN";"https://www.sklep-ik.pl/tag-produktu/stenli-len/";"<span style=""color: #993366;""><b>20% TANIEJ</b></span><br/>50% bawełna, 30% wiskoza, 20% len<br/>motek 100g = 300m"
"STENLI";"LUREX";"https://www.sklep-ik.pl/tag-produktu/stenli-lurex/";"<strong><span style=""color: #993366;"">30% TANIEJ</span></strong><br/>100% lurex<br/>szpulka = 500m"
